Tool,Execution Time (s),CPU Used (%),Memory Used (KB)
flake8,0.33,163,24744
ruff,0.07,60,78260
mypy,19.67,98,337784
bandit,0.29,82,29528
flake8,0.19,261,22740
ruff,0.02,175,74624
mypy,19.65,99,337260
bandit,0.24,99,29524
flake8,0.24,277,25052
ruff,0.04,136,81316
mypy,20.64,99,337008
bandit,0.28,97,29756
flake8,0.23,264,22840
ruff,0.03,180,78892
mypy,19.52,99,339280
bandit,0.24,99,29660
flake8,0.20,246,24732
ruff,0.02,161,77056
mypy,19.87,99,338660
bandit,0.25,99,29520
flake8,0.21,257,22828
ruff,0.02,165,72704
mypy,19.45,99,337164
bandit,0.28,98,29764
flake8,0.19,259,25004
ruff,0.18,107,80960
mypy,18.79,99,337776
bandit,0.25,99,29724
flake8,0.22,251,22748
ruff,0.02,164,80936
mypy,19.00,99,337140
bandit,0.28,97,29792
flake8,0.21,252,22968
ruff,0.02,142,79164
mypy,17.63,99,339152
bandit,0.23,97,29668
flake8,0.20,248,24832
ruff,0.02,147,79364
mypy,17.15,99,337900
bandit,0.23,99,29796
